class	type	cbo	cboModified	fanin	fanout	wmc	dit	noc	rfc	lcom	lcom*	tcc	lcc	totalMethodsQty	staticMethodsQty	publicMethodsQty	privateMethodsQty	protectedMethodsQty	defaultMethodsQty	visibleMethodsQty	abstractMethodsQty
org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol	class	11	11	0	11	6	2	0	11	10	0	0	0	5	0	2	0	3	0	5	0
org.apache.dubbo.demo.graalvm.provider.Application	class	8	9	1	8	4	1	0	19	3	0.6666667	#NUM!	#NUM!	3	3	1	2	0	0	1	0
org.apache.dubbo.reactive.handler.OneToOneMethodHandler	class	7	8	1	7	2	1	0	1	0	0	1	1	2	0	2	0	0	0	2	0
org.apache.dubbo.rpc.filter.ActiveLimitFilter	class	11	13	2	11	13	1	0	18	8	0.6	0	0	5	0	3	2	0	0	3	0
org.apache.dubbo.common.convert.ConverterTest	class	11	12	1	11	5	1	0	18	4	0.4	0.5	0.5	5	0	2	1	0	2	4	0
org.apache.dubbo.rpc.cluster.support.wrapper.ScopeClusterWrapper	class	6	6	0	6	3	1	0	1	0	0	1	1	3	0	3	0	0	0	3	0
org.apache.dubbo.registry.nacos.NacosRegistryTest	class	15	15	0	15	13	1	0	38	0	0.45714283	0.71428573	0.71428573	7	0	2	0	0	5	7	0
org.apache.dubbo.metrics.config.event.ConfigCenterEvent	class	7	9	2	7	3	3	0	6	1	1	0	0	2	1	2	0	0	0	2	0
org.apache.dubbo.rpc.filter.DeprecatedFilterTest	class	7	7	0	7	1	1	0	6	0	0	#NUM!	#NUM!	1	0	0	0	0	1	1	0
org.apache.dubbo.remoting.transport.netty4.NettyClientHandler	class	12	15	3	12	13	2	0	22	0	0.2857143	0.71428573	0.71428573	7	0	7	0	0	0	7	0
org.apache.dubbo.rpc.protocol.ProtocolSerializationWrapper	class	8	8	0	8	6	1	0	11	0	0	1	1	6	0	6	0	0	0	6	0
org.apache.dubbo.common.serialize.hessian2.TrustedNotSerializable	class	1	3	2	1	6	1	0	3	0	0	1	1	3	0	3	0	0	0	3	0
org.apache.dubbo.rpc.protocol.rest.netty.ssl.SslContexts	class	9	11	2	9	23	1	0	25	8	0.6	0	0	5	5	2	3	0	0	2	0
org.apache.dubbo.remoting.zookeeper.curator.CuratorZookeeperTransporterTest	class	7	7	0	7	3	1	0	7	0	0.44444445	0.6666667	1	3	1	2	0	0	1	3	0
org.apache.dubbo.qos.command.impl.PortTelnet	class	8	8	0	8	16	1	0	19	0	0	1	1	2	0	2	0	0	0	2	0
org.apache.dubbo.common.PojoUtilsForNonPublicStaticTest	class	2	2	0	2	1	1	0	1	0	0	#NUM!	#NUM!	1	0	0	0	0	1	1	0
org.apache.dubbo.rpc.cluster.directory.AbstractDirectory	class	18	24	6	18	73	1	0	93	356	0.87537533	0.21505377	0.8129032	37	0	24	6	7	0	31	1
org.apache.dubbo.spring.boot.context.event.AwaitingNonWebApplicationListener	class	12	14	2	12	35	1	0	41	112	0.9027778	0.10714286	0.10714286	16	2	4	8	3	1	8	0
org.apache.dubbo.common.url.component.param.DefaultDynamicParamSource	class	4	4	0	4	1	1	0	2	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.registry.MockLogger	class	1	1	0	1	23	1	0	2	208	0.9047619	0.004761905	0.004761905	21	0	21	0	0	0	21	0
org.apache.dubbo.rpc.stub.StubProxyFactory	class	7	9	2	7	3	1	0	5	3	0	0	0	3	0	3	0	0	0	3	0
org.apache.dubbo.remoting.transport.netty.NettyBackedChannelBuffer	class	6	9	3	6	69	1	0	42	0	0.1904762	0.6528418	0.6528418	63	0	63	0	0	0	63	0
org.apache.dubbo.remoting.transport.dispatcher.connection.ConnectionOrderedDispatcher	class	4	4	0	4	1	1	0	0	0	1	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.metrics.model.key.MetricsCat	class	6	13	7	6	4	1	0	1	0	0.375	0.6666667	1	4	0	4	0	0	0	4	0
org.apache.dubbo.rpc.support.MockInvoker	class	13	16	3	13	62	1	0	55	52	0.8333333	0.07272727	0.10909091	12	5	11	1	0	0	11	0
org.apache.dubbo.common.extension.director.impl.TestAppService	class	7	8	1	7	9	2	0	0	28	0.7777778	0.11111111	0.11111111	9	0	9	0	0	0	9	0
org.apache.dubbo.remoting.transport.netty4.ssl.SslContexts	class	9	15	6	9	23	1	0	25	8	0.6	0	0	5	5	2	3	0	0	2	0
