student.information.system.Choice	private void initComponents() 	jPanel1Layout	B1	0/86
student.information.system.Choice	private void initComponents() 	jButton1	B1	0/38
student.information.system.CounsellingResult	private void initComponents() 	jPanel1Layout	B1	0/37
student.information.system.StudentInformation	private void initComponents() 	jPanel3	B1	0/34
student.information.system.Login	private void initComponents() 	jPanel1	B1	0/33
student.information.system.Choice	private void initComponents() 	jPanel1	B1	0/32
student.information.system.StudentInformation	private void initComponents() 	jMenuItem1	B1	0/25
student.information.system.StudentInformation	private void initComponents() 	jPanel5Layout	B1	0/25
student.information.system.StudentInformation	private void initComponents() 	lbl_img	B1	0/25
student.information.system.users	private void initComponents() 	jPanel1Layout	B1	0/25
student.information.system.StudentInformation	private void initComponents() 	jButton1	B1	0/24
student.information.system.StudentInformation	private void initComponents() 	txt_search1	B1	0/24
student.information.system.StudentInformation	private void initComponents() 	jButton3	B1	0/23
student.information.system.Login	private void initComponents() 	layout	B1	0/21
student.information.system.users	private void initComponents() 	cmd_update	B1	0/19
student.information.system.CounsellingResult	private void initComponents() 	jPanel1	B1	0/18
student.information.system.Login	private void initComponents() 	jButton1	B1	0/17
student.information.system.Login	private void initComponents() 	jLabel2	B1	0/17
student.information.system.Login	private void initComponents() 	jLabel3	B1	0/17
student.information.system.Login	private void initComponents() 	txt_combo	B1	0/17
student.information.system.users	private void initComponents() 	jPanel1	B1	0/16
student.information.system.Audit_details	private void initComponents() 	jPanel3Layout	B1	0/15
student.information.system.users	private void initComponents() 	cmd_delete	B1	0/15
student.information.system.Audit_details	private void initComponents() 	jPanel4Layout	B1	0/14
student.information.system.Choice	private void jButton1ActionPerformed(java.awt.event.ActionEvent) 	ch	B1	0/14
student.information.system.Choice	private void jButton1ActionPerformed(java.awt.event.ActionEvent) 	ch	B1	0/14
student.information.system.MainMenu	private void initComponents() 	jPanel1	B1	0/14
student.information.system.StudentInformation	private void initComponents() 	jMenuBar1	B1	0/12
student.information.system.MainMenu	private void initComponents() 	layout	B1	0/11
student.information.system.users	private void initComponents() 	txt_combo	B1	0/11
student.information.system.MainMenu	private void initComponents() 	jMenu1	B1	0/10
student.information.system.users	private void initComponents() 	cmd_add	B1	0/10
student.information.system.users	private void initComponents() 	jPanel2	B1	0/10
student.information.system.users	private void initComponents() 	jButton1	B1	0/9
student.information.system.Audit_details	private void initComponents() 	jButton1	B1	0/8
student.information.system.Audit_details	private void initComponents() 	jPanel3	B1	0/8
student.information.system.Audit_details	private void initComponents() 	jPanel4	B1	0/8
student.information.system.Audit_details	private void initComponents() 	jScrollPane3	B1	0/8
